soru,secenek_a,secenek_b,secenek_c,secenek_d,dogru_cevap
Dünyanın en uzun dağı hangisidir?,Everest,K2,Kilimanjaro,Elbrus,Everest
Hangi metal paslanmaz?,Altın,Demir,Bakır,Çinko,Altın
Güneş sisteminin en sıcak gezegeni hangisidir?,Venüs,Merkür,Dünya,Jüpiter,Venüs
Hangi gezegen en çok uydusu olan gezegendir?,Jüpiter,Mars,Uranüs,Neptün,Jüpiter
Kanın vücutta en fazla bulunduğu yer neresidir?,Karaciğer,Akciğer,Beyin,Kalp,Karaciğer
Dünyanın en kalabalık ülkesi hangisidir?,Çin,Hindistan,ABD,Rusya,Çin
Hangi ülkenin bayrağında bir ejderha vardır?,Bhutan,Nepal,Galler,İskoçya,Galler
Dünyanın en büyük çöllerinden biri hangisidir?,Sahra,Gobi,Kalahari,Antarktika,Antarktika
Dünyanın en uzun karayolu tüneli nerededir?,Norveç,İsviçre,Çin,Türkiye,Norveç
Güneş sistemindeki en büyük volkan hangi gezegendedir?,Mars,Jüpiter,Dünya,Venüs,Mars
Mum ışığında hangi renk en parlaktır?,Mavi,Kırmızı,Yeşil,Beyaz,Kırmızı
En büyük bakteriyel hastalık hangisidir?,Tüberküloz,Kolera,Grip,Veba,Veba
Venüs gezegeninin en belirgin özelliği nedir?,Sıcak yüzey,Dönüş hızı,Yoğun atmosfer,Büyük kütle,Yoğun atmosfer
Atomu kim keşfetmiştir?,Dalton,Rutherford,Bohr,Einstein,Dalton
Vücutta demirin depolandığı organ hangisidir?,Karaciğer,Akciğer,Mide,Kalp,Karaciğer
Hangi gezegen halkasızdır?,Mars,Venüs,Merkür,Jüpiter,Venüs
Bir kış gününde gökyüzünün rengi neden gri olur?,Bulutlar yoğunlaşır,Güneş ışığı azalır,Rüzgar kuvvetlidir,Soğuk hava çöker,Bulutlar yoğunlaşır
En çok gezegen hangi galakside bulunur?,Samanyolu,Andromeda,Triangulum,Sombrero,Samanyolu
Kuvvetin ölçü birimi nedir?,Newton,Joule,Pascal,Watt,Newton
Dünya yüzeyinin en büyük kısmı hangi elementten oluşur?,Oksijen,Azot,Karbon,Hidrojen,Oksijen
Ay hangi gezegenin etrafında döner?,Mars,Dünya,Güneş,Venüs,Dünya
En büyük devriye olan gezegen hangisidir?,Satürn,Neptün,Jüpiter,Uranüs,Jüpiter
Vücutta oksijen taşıyan hücreler nelerdir?,Alyuvarlar,Akyuvarlar,Trombositler,Sinir hücreleri,Alyuvarlar
Hangi hastalık kemik erimesi olarak bilinir?,Osteoporoz,Skolyoz,Raşitizm,Alzheimer,Osteoporoz
Plüton gezegeni hangisinde bulunur?,Güneş Sistemi,Kuiper Kuşağı,Andromeda,Oort Bulutu,Kuiper Kuşağı
Bir kelebeğin ömrü ne kadar sürer?,Bir hafta,Bir ay,Bir yıl,Bir gün,Bir ay
Bir insan vücudunda en uzun organ hangisidir?,İnce bağırsak,Kalın bağırsak,Beyin,Akciğer,İnce bağırsak
Dünyanın en derin deniz çukuru nerededir?,Pasifik Okyanusu,Hint Okyanusu,Atlantik Okyanusu,Mariana Çukuru,Mariana Çukuru
Antibiyotikler hangi hastalıklar için kullanılır?,Bakteriyel enfeksiyonlar,Viral enfeksiyonlar,Fungal enfeksiyonlar,Hepsi,Bakteriyel enfeksiyonlar
Denizlerde en çok hangi element bulunur?,Oksijen,Hidrojen,Sodyum,Klor,Sodyum
İnsan vücudunun %70'i nedir?,Su,Kan,Kemik,Kas,Su
Bir aslan sürüsüne ne ad verilir?,Sürü,Koloni,Topluluk,Pride,Pride
Dünyanın en yüksek aktif yanardağı nerededir?,Himalayalar,And Dağları,Antarktika,Kilimanjaro,Kilimanjaro
Hangi gezegen Güneş'e en uzak gezegendir?,Neptün,Satürn,Plüton,Uranüs,Neptün
En çok konuşulan ikinci dil hangisidir?,İngilizce,Mandarin Çincesi,Hintçe,İspanyolca,İspanyolca
Ozon tabakası hangi gazla doludur?,Azot,Oksijen,Ozon,Helyum,Ozon
Bir su aygırı hangi familyaya aittir?,Bovidae,Suidae,Felidae,Equidae,Hippopotamidae
Bir kaplumbağanın kabuğu kaç parçadan oluşur?,2,8,5,10,5
Dünyanın en uzun deniz köprüsü hangisidir?,Danyang-Kunshan,Hangzhou Bay,Hong Kong-Zhuhai-Macau,Chesapeake Bay,Danyang-Kunshan
Bir çölde hangi bitki daha çok bulunur?,Kaktüs,Sedir,Çam,Palmiye,Kaktüs
Vücuttaki en uzun kas hangisidir?,Sartorius,Biceps,Rectus femoris,Deltoid,Sartorius
Bir aslanın ortalama ömrü ne kadardır?,10 yıl,15 yıl,20 yıl,25 yıl,15 yıl
Bir böceğin kaç bacağı vardır?,4,6,8,10,6
Dünyanın en uzun nehir sistemi hangisidir?,Nil,Amazon,Yangtze,Mekong,Amazon
Bir kirpi günde kaç böcek yer?,50,100,150,200,50
Hangi kuş en uzun süre uçabilir?,Martı,Penguen,Albatros,Kartal,Albatros
Bir fil ortalama kaç yıl yaşar?,40 yıl,60 yıl,80 yıl,100 yıl,60 yıl
En yüksek doğal şelale nerededir?,Amerika,Afrika,Venezuela,Asya,Venezuela
Gökkuşağında kaç renk vardır?,5,6,7,8,7
Bir gün kaç saattir?,12,20,24,15,24
Su hangi sıcaklıkta donar?,0°C,-5°C,-10°C,-20°C,0°C
Dünyanın en büyük çiçeği hangisidir?,Rafflesia arnoldii,Nilüfer,Gül,Orkide,Rafflesia arnoldii
Bir haftada kaç gün vardır?,5,7,6,10,7
Deniz suyunda en çok bulunan element hangisidir?,Oksijen,Azot,Magnezyum,Sodyum,Sodyum
Ay'ın dünya etrafındaki turu kaç gündür?,27,30,31,28,27
Ağır metallerden biri hangisidir?,Demir,Çinko,Kurşun,Altın,Kurşun
Tarih boyunca en çok kullanılan alfabe hangisidir?,Latince,Çince,Sanskritçe,Arapça,Latince
Dünya'da en çok kahve üreten ülke hangisidir?,Kolombiya,Brezilya,Vietnam,Etiyopya,Brezilya
İlk Dünya Kupası hangi yılda oynandı?,1930,1950,1960,1970,1930
İnsan vücudunun en büyük damarı hangisidir?,Aorta,Koroner,Pulmoner,Femoral,Aorta
İlk telefon konuşmasını kim yapmıştır?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,Alexander Graham Bell
İnsan vücudunda en çok bulunan element nedir?,Oksijen,Hidrojen,Karbon,Azot,Oksijen
Yıldırım nereden çıkar?,Gökyüzünden,Topraktan,Buluttan,Ağaçtan,Buluttan
Dünyanın en uzun nehri hangi kıtadadır?,Afrika,Asya,Güney Amerika,Avrupa,Afrika
Einstein hangi ülkenin vatandaşıdır?,ABD,İsviçre,Almanya,İngiltere,Almanya
İnsan vücudunda en çok bulunan mineral hangisidir?,Kalsiyum,Fosfor,Potasyum,Magnezyum,Kalsiyum
Yerçekimini kim keşfetmiştir?,Newton,Einstein,Galilei,Kepler,Newton

